Organism,VEuPathDB Project,Genome Source,Genome Version/Assembly ID,Structural Annotation Version,Is Reference Strain,Contigs,Supercontigs,Chromosomes,Protein coding genes,Non Protein coding genes,Pseudogenes,User comments,Orthologs,GO terms,EC#,NCBI taxon ID,Organellar genome(s),Search Weight,Mega base Pairs,Structural Annotation Source,Species,Strain,ChIP chip,ESTs,Genes,Microarray,Popset Sequences,Proteomics
Amphiamblys sp. WSBS2006,MicrosporidiaDB,GenBank,GCA_001875675.1,"Nov 10, 2016",yes,1727,0,0,3642,53,5,N/A,3642,1689,270,1866961,no,10,    5.62,GenBank,unclassified Amphiamblys,WSBS2006,N/A,N/A,3695,N/A,N/A,N/A
Cryptococcus neoformans var. neoformans JEC21,FungiDB,GenBank,GCA_000091045.1,"Jun 16, 2016",yes,0,0,14,6632,372,8,27,6632,5420,951,214684,no,10,   19.05,GenBank,Cryptococcus neoformans,var. neoformans JEC21,N/A,5568,7004,N/A,64,2747
Coccidioides posadasii C735 delta SOWgp,FungiDB,GenBank,GCA_000151335.1,"Jun 17, 2009",no,0,55,0,7229,26,0,N/A,7229,5432,1414,222929,no,10,   27.01,JCVI,Coccidioides posadasii,C735 delta SOWgp,N/A,6334,7255,N/A,7069,N/A
Aspergillus nidulans FGSC A4,FungiDB,GenBank,GCA_000149205.2,"Oct 04, 2015",yes,0,0,8,10712,276,0,173,10712,10682,1195,227321,yes,10,   30.52,AspGD,Aspergillus nidulans,FGSC A4,N/A,3656,10988,N/A,50601,535
Fusarium graminearum PH-1,FungiDB,GenBank,GCA_900044135.1,"Jan 25, 2017",yes,0,1,4,14143,2,0,1184,14143,8771,914,229533,yes,10,   38.05,HammondKosackLab,Fusarium graminearum,PH-1,N/A,4054,14145,13573,122480,1432
Cryptococcus neoformans var. grubii H99,FungiDB,GenBank,GCA_000149245.3,"Apr 01, 2015",no,0,0,14,6975,1363,0,168,6975,5119,575,235443,yes,10,   18.92,GenBank,Cryptococcus neoformans,var. grubii H99,N/A,5763,8338,5205,824,68
Candida albicans SC5314,FungiDB,GenBank,GCA_000182965.3,A22-s07-m01-r59,yes,0,0,8,6212,256,0,14,6212,6063,579,237561,yes,10,   14.32,CGD,Candida albicans,SC5314,N/A,21,6468,5490,20770,N/A
Ustilago maydis 521,FungiDB,GenBank,GCA_000328475.2,"Jun 02, 2017",yes,0,4,23,6765,145,0,18,6765,5336,959,237631,no,10,   19.66,GenBank,Ustilago maydis,521,N/A,5377,6910,N/A,11612,N/A
Coprinopsis cinerea okayama7#130,FungiDB,GenBank,GCA_000182895.1,3,yes,0,67,0,13356,301,0,4,13356,7570,1286,240176,yes,10,   36.19,Broad,Coprinopsis cinerea,okayama7#130,N/A,4839,13657,9594,266,N/A
Pyricularia oryzae 70-15,FungiDB,GenBank,GCA_000002495.2,"Mar 31, 2016",yes,0,46,7,12825,359,131,192,12825,7526,1367,242507,no,10,   40.98,GenBank,Pyricularia oryzae,70-15,N/A,570,13184,N/A,3530,N/A
Rhizopus delemar RA 99-880,FungiDB,GenBank,GCA_000149305.1,"Mar 23, 2015",yes,0,81,0,17459,244,0,4,17459,9237,1561,246409,yes,10,   46.15,GenBank,Rhizopus delemar,RA 99-880,N/A,N/A,17703,N/A,3369,N/A
Coccidioides immitis RS,FungiDB,GenBank,GCA_000149335.2,3,yes,0,6,0,9757,148,0,7587,9757,5759,1107,246410,yes,10,   29.02,Broad,Coccidioides immitis,RS,N/A,6660,9905,9702,9240,N/A
Phanerochaete chrysosporium RP-78,FungiDB,GenBank,GCA_000167175.1,2.2,yes,0,232,0,13602,0,0,1,13602,5990,849,273507,no,10,   35.15,JGI,Phanerochaete chrysosporium,RP-78,N/A,4662,13602,N/A,439,N/A
Cryptococcus neoformans var. neoformans B-3501A,FungiDB,GenBank,GCA_000149385.1,"Mar 21, 2015",no,0,0,14,6500,108,0,11,6500,4842,954,283643,no,10,   19.70,GenBank,Cryptococcus neoformans,var. neoformans B-3501A,N/A,5270,6608,N/A,64,N/A
Kluyveromyces lactis NRRL Y-1140,FungiDB,INSDC,GCA_000002515.1,2015-02-27,yes,0,0,6,5076,313,33,N/A,5076,3558,539,284590,no,10,   10.69,GenBank,Kluyveromyces lactis,NRRL Y-1140,N/A,N/A,5389,N/A,41,N/A
Yarrowia lipolytica CLIB122,FungiDB,GenBank,GCA_000002525.1,"Feb 27, 2015",yes,0,0,6,6448,775,0,N/A,6448,5220,870,284591,no,10,   20.50,GenBank,Yarrowia lipolytica,CLIB122,N/A,3900,7223,N/A,3050,N/A
Debaryomyces hansenii CBS767,FungiDB,INSDC,GCA_000006445.2,"Feb 27, 2015",yes,0,0,7,6272,426,129,N/A,6272,4777,888,284592,no,10,   12.15,GenBank,Debaryomyces hansenii,CBS767,N/A,N/A,6698,N/A,2834,N/A
Candida glabrata CBS 138,FungiDB,GenBank,GCA_000002545.2,s02-m07-r27,yes,0,0,13,5293,322,18,7,5293,5293,953,284593,yes,10,   12.34,CGD,[Candida] glabrata,CBS138,N/A,11,5615,N/A,92033,N/A
Schizosaccharomyces pombe 972h-,FungiDB,GenBank,GCA_000002945.2,"Apr 12, 2016",yes,0,2,3,5138,1857,0,2,5138,5102,1541,284812,yes,10,   12.63,PomBase,Schizosaccharomyces pombe,972h-,N/A,6037,6995,N/A,117936,N/A
Encephalitozoon cuniculi GB-M1,MicrosporidiaDB,GenBank,GCA_000091225.2,"Feb 27, 2015",yes,0,0,11,2093,33,0,1,2093,1357,284,284813,no,10,    2.50,GenBank,Encephalitozoon cuniculi,GB-M1,N/A,18,2126,N/A,299,N/A
Entamoeba histolytica HM-1:IMSS,AmoebaDB,GenBank,GCA_000208925.2,"Nov 27, 2009",yes,0,1496,0,8201,132,3,677,8201,4672,693,294381,no,10,   20.80,JCVI,Entamoeba histolytica,HM-1:IMSS,N/A,1288,8333,8302,810,3553
Meyerozyma guilliermondii ATCC 6260,FungiDB,INSDC,GCA_000149425.1,"Mar 23, 2015",yes,0,9,0,5920,142,6,N/A,5920,4671,807,294746,no,10,   10.61,GenBank,Meyerozyma guilliermondii,ATCC 6260,N/A,7,6062,N/A,147,N/A
Candida tropicalis MYA-3404,FungiDB,GenBank,GCA_000006335.3,"Mar 12, 2015",yes,0,23,0,6254,187,0,2,6254,5128,950,294747,yes,10,   14.63,GenBank,Candida tropicalis,MYA-3404,N/A,482,6441,6245,11045,N/A
Candida albicans WO-1,FungiDB,GenBank,GCA_000149445.2,"Dec 11, 2013",no,0,16,0,6160,0,0,N/A,6160,4934,933,294748,no,10,   14.42,CGD,Candida albicans,WO-1,N/A,17,6160,N/A,14377,N/A
Cryptococcus gattii VGII R265,FungiDB,GenBank,GCA_000149475.3,"Aug 05, 2015",yes,0,27,0,6472,165,5,6,6472,4589,824,294750,yes,10,   17.48,GenBank,Cryptococcus gattii VGII,R265,N/A,N/A,6637,N/A,82,N/A
Clavispora lusitaniae ATCC 42720,FungiDB,GenBank,GCA_000003835.1,"Mar 23, 2015",yes,0,9,0,5936,217,0,4,5936,4716,894,306902,no,10,   12.11,GenBank,Clavispora lusitaniae,ATCC 42720,N/A,N/A,6153,N/A,1008,N/A
Plasmodium chabaudi chabaudi,PlasmoDB,GenBank,GCA_900002335.2,"Sep 01, 2020",yes,0,0,14,5199,172,23,67,5199,3717,798,31271,yes,10,   18.97,GeneDB,Plasmodium chabaudi,chabaudi,N/A,N/A,5371,N/A,77084,N/A
Aspergillus fumigatus Af293,FungiDB,GenBank,GCA_000002655.1,"Sep 27, 2015",yes,0,0,8,9840,290,0,8979,9840,9828,907,330879,yes,10,   29.42,AspGD,Aspergillus fumigatus,Af293,N/A,237,10130,9530,67674,1179
Aspergillus fischeri NRRL 181,FungiDB,GenBank,GCA_000149645.3,"Jul 14, 2016",yes,0,376,0,10390,279,26,1,10390,7989,1483,331117,no,10,   31.67,GenBank,Aspergillus fischeri,NRRL 181,N/A,N/A,10669,N/A,45765,N/A
Botrytis cinerea B05.10,FungiDB,GenBank,GCA_000143535.4,"Dec. 7, 2017",yes,0,0,18,11707,366,0,6,11707,7538,788,332648,no,10,   42.63,Ensembl,Botrytis cinerea,B05.10,N/A,6474,12073,N/A,44553,N/A
Aspergillus flavus NRRL3357,FungiDB,GenBank,GCA_000006275.2,"Jun 02, 2015",yes,0,331,0,13502,29,0,16,13502,9527,1676,332952,yes,10,   36.92,GenBank,Aspergillus flavus,NRRL3357,N/A,4595,13531,N/A,60340,N/A
Theileria parva strain Muguga,PiroplasmaDB,GenBank,GCA_000165365.1,"Jun 11, 2020",yes,0,6,2,4051,78,0,26,4051,1873,1,333668,yes,10,    8.35,GenBank,Theileria parva,strain Muguga,N/A,1391,4129,N/A,7953,N/A
Fusarium verticillioides 7600,FungiDB,GenBank,GCA_000149555.1,"Mar 11, 2015",yes,0,10,11,15869,371,0,7,15869,9677,1626,334819,yes,10,   41.89,GenBank,Fusarium verticillioides,7600,N/A,8371,16240,N/A,149191,N/A
Zymoseptoria tritici IPO323,FungiDB,GenBank,GCA_000219625.1,"Jul 01, 2015",yes,0,0,21,11826,13,0,1,11826,6293,780,336722,yes,10,   39.73,StukenbrockLab,Zymoseptoria tritici,IPO323,N/A,6427,11839,N/A,1115,N/A
Uncinocarpus reesii 1704,FungiDB,GenBank,GCA_000003515.2,"Aug 06, 2014",yes,0,44,0,7760,96,0,N/A,7760,5174,1006,336963,no,10,   22.33,GenBank,Uncinocarpus reesii,1704,N/A,N/A,7856,N/A,137,N/A
Histoplasma capsulatum NAm1,FungiDB,GenBank,GCA_000149585.1,"Mar 23, 2015",no,0,276,0,9313,89,0,1,9313,5433,1085,339724,yes,10,   33.03,GenBank,Histoplasma capsulatum,NAm1,N/A,2370,9402,N/A,1603,N/A
Aspergillus terreus NIH2624,FungiDB,GenBank,GCA_000149615.1,"Mar 23, 2015",yes,0,26,0,10401,150,0,5,10401,7441,1541,341663,yes,10,   29.36,GenBank,Aspergillus terreus,NIH2624,N/A,2213,10551,N/A,47153,N/A
Aspergillus clavatus NRRL 1,FungiDB,GenBank,GCA_000002715.1,"Jan 02, 2013",yes,0,143,0,9141,287,0,2,9141,7117,1339,344612,yes,10,   27.89,GenBank,Aspergillus clavatus,NRRL 1,N/A,N/A,9428,N/A,46508,N/A
Leishmania major strain Friedlin,TriTrypDB,GenBank,GCA_000002725.2,"May 28, 2016",yes,0,0,36,8307,1071,95,774,8307,5643,1088,347515,no,10,   32.86,GeneDB,Leishmania major,strain Friedlin,9325,469,9378,8628,41205,3921
Plasmodium yoelii yoelii 17XNL,PlasmoDB,GenBank,GCA_000003085.2,"Sep 1, 2005",no,5617,0,0,7724,50,0,476,7724,2256,470,352914,no,10,   22.94,GenBank,Plasmodium yoelii,yoelii 17XNL,N/A,3676,7774,N/A,71085,N/A
Cryptosporidium hominis TU502,CryptoDB,GenBank,GCA_000006425.1,"Oct 17, 2004",yes,1422,0,0,3886,70,0,47,3886,1678,184,353151,no,10,    8.74,GenBank,Cryptosporidium hominis,TU502,N/A,N/A,3956,N/A,18172,N/A
Cryptosporidium parvum Iowa II,CryptoDB,GenBank,GCA_000165345.1,"Feb 27, 2018",yes,0,0,8,3941,79,0,245,3941,2404,446,353152,no,10,    9.10,KissingerLab,Cryptosporidium parvum,Iowa II,N/A,1875,4020,1819,17117,1342
Trypanosoma cruzi strain CL Brener,TriTrypDB,GenBank,GCA_000209065.1,"Dec 07, 2015",no,29407,0,0,1244,2153,891,476,1244,864,10,353153,no,10,   36.03,GeneDB,Trypanosoma cruzi,strain CL Brener,N/A,54,3397,N/A,10156,328
Theileria annulata strain Ankara,PiroplasmaDB,GenBank,GCA_000003225.1,"Feb 02, 2015",yes,0,0,4,3795,1,0,27,3795,1822,519,353154,yes,10,    8.36,GenBank,Theileria annulata,strain Ankara,N/A,2088,3796,N/A,4813,1511
Plasmodium falciparum 3D7,PlasmoDB,GenBank,GCA_000002765.3,"Sep 01, 2020",yes,0,0,14,5318,402,158,1431,5318,4868,1227,36329,yes,10,   23.33,GeneDB,Plasmodium falciparum,3D7,4197,4283,5720,5709,108493,4307
Trypanosoma cruzi strain Esmeraldo,TriTrypDB,GenBank,GCA_000327425.1,n/a,no,15007,796,0,0,0,0,N/A,N/A,N/A,N/A,366581,no,10,   38.08,n/a,Trypanosoma cruzi,strain Esmeraldo,N/A,N/A,N/A,N/A,N/A,N/A
Neurospora crassa OR74A,FungiDB,GenBank,GCA_000182925.2,"Mar 23, 2015",yes,0,13,7,9758,833,0,911,9758,7092,1284,367110,yes,10,   41.10,GenBank,Neurospora crassa,OR74A,N/A,7762,10591,9325,3342,N/A
Cryptococcus gattii WM276,FungiDB,GenBank,GCA_000185945.1,"Oct 01, 2014",yes,0,0,14,6565,15,0,6,6565,4708,881,367775,no,10,   18.37,GenBank,Cryptococcus gattii VGI,WM276,N/A,N/A,6580,6569,66,N/A
Entamoeba dispar SAW760,AmoebaDB,GenBank,GCA_000209125.2,"Nov 27, 2009",yes,0,3312,0,8744,4,0,27,8744,5277,2072,370354,no,10,   22.96,JCVI,Entamoeba dispar,SAW760,N/A,79,8748,N/A,787,N/A
Entamoeba invadens IP1,AmoebaDB,GenBank,GCA_000330505.1,"Mar 19, 2015",yes,0,1144,0,11997,10,0,17,11997,6188,1486,370355,no,10,   40.88,GenBank,Entamoeba invadens,IP1,N/A,N/A,12007,N/A,706,N/A
Lodderomyces elongisporus NRRL YB-4239,FungiDB,INSDC,GCA_000149685.1,"Jul 14, 2016",yes,0,28,0,5799,109,1,N/A,5799,4470,785,379508,no,10,   15.55,GenBank,Lodderomyces elongisporus,NRRL YB-4239,N/A,N/A,5908,N/A,13,N/A
Aspergillus niger ATCC 1015,FungiDB,GenBank,GCA_000230395.2,4,no,0,24,0,11904,6,0,3,11904,7569,977,380704,no,10,   34.85,JGI,Aspergillus niger,ATCC 1015,N/A,5836,11910,N/A,70241,N/A
Ascosphaera apis ARSEF 7405,FungiDB,INSDC,GCA_001636715.1,"May 2, 2016",yes,0,82,0,6442,0,0,746,6442,4727,799,392613,no,10,   20.31,GenBank,Ascosphaera apis,ARSEF 7405,N/A,N/A,6442,N/A,99,N/A
Coccidioides immitis H538.4,FungiDB,GenBank,GCA_000149815.1,1,no,50,266,0,10538,186,3,2,10538,5577,1019,396776,yes,10,   27.46,Broad,Coccidioides immitis,H538.4,N/A,6760,10724,N/A,8681,N/A
Schizosaccharomyces japonicus yFS275,FungiDB,GenBank,GCA_000149845.2,"Mar 23, 2015",yes,0,32,0,4886,346,0,N/A,4886,4143,823,402676,yes,10,   11.81,GenBank,Schizosaccharomyces japonicus,yFS275,N/A,N/A,5232,N/A,52677,N/A
Batrachochytrium dendrobatidis JEL423,FungiDB,GenBank,GCA_000149865.1,1,yes,0,69,0,8794,0,0,7,8794,5078,542,403673,yes,10,   23.90,Broad,Batrachochytrium dendrobatidis,JEL423,N/A,2693,8794,N/A,97,N/A
Phytophthora infestans T30-4,FungiDB,GenBank,GCA_000142945.1,"Mar 12, 2015",yes,0,4921,0,17797,1547,3,7,17797,10026,1467,403677,no,10,  228.54,GenBank,Phytophthora infestans,T30-4,N/A,10371,19344,N/A,80650,N/A
Coccidioides immitis RMSCC 2394,FungiDB,GenBank,GCA_000149895.1,2015-07-13,no,0,23,0,0,0,0,N/A,N/A,N/A,N/A,404692,yes,10,   28.91,GenBank,Coccidioides immitis,RMSCC 2394,N/A,N/A,N/A,N/A,N/A,N/A
Trichomonas vaginalis G3,TrichDB,GenBank,GCA_000002825.1,"Sep 12, 2014",yes,0,64764,0,94255,4356,3220,130,94255,16296,1988,412133,no,10,  176.41,JCarltonLab,Trichomonas vaginalis,G3,N/A,11262,98611,N/A,2188,1830
Trichoderma virens Gv29-8,FungiDB,GenBank,GCA_000170995.2,"Nov 29, 2011",yes,93,0,0,12405,0,0,N/A,12405,8238,1428,413071,no,10,   39.02,GenBank,Trichoderma virens,Gv29-8,N/A,4638,12405,N/A,13812,N/A
Eimeria tenella strain Houghton,ToxoDB,GenBank,GCA_000499545.1,"Nov 5, 2013",no,0,4664,0,8597,37,0,91,8597,2981,432,413949,no,10,   51.86,GenBank,Eimeria tenella,strain Houghton,N/A,3302,8634,N/A,1657,N/A
Puccinia graminis f. sp. tritici CRL 75-36-700-3,FungiDB,GenBank,GCA_000149925.1,"Mar 11, 2015",yes,0,392,0,15800,509,0,N/A,15800,6785,1093,418459,yes,10,   88.72,GenBank,Puccinia graminis,f. sp. tritici CRL 75-36-700-3,N/A,122,16309,N/A,25759,N/A
Leishmania braziliensis MHOM/BR/75/M2904,TriTrypDB,GenBank,GCA_000002845.2,"May 28, 2016",yes,103,0,36,8176,317,178,69,8176,5873,1056,420245,no,10,   32.08,GeneDB,Leishmania braziliensis,MHOM/BR/75/M2904,N/A,1,8493,N/A,33906,58
Aspergillus niger CBS 513.88,FungiDB,GenBank,GCA_000002855.2,"Sep 14, 2015",yes,0,0,19,14057,346,5,27,14057,14032,3237,425011,no,10,   33.98,AspGD,Aspergillus niger,CBS 513.88,N/A,6071,14403,N/A,69807,N/A
Malassezia restricta CBS 7877,FungiDB,INSDC,GCA_003691605.1,"Oct 29, 2018",no,0,0,9,4096,59,0,N/A,4096,3402,1265,425264,yes,10,    7.30,GenBank,Malassezia restricta,CBS 7877,N/A,N/A,4155,N/A,5743,N/A
Malassezia globosa CBS 7966,FungiDB,GenBank,GCA_000181695.1,"Nov 02, 2007",yes,0,43,0,4286,0,0,1,4286,3380,709,425265,no,10,    8.93,GenBank,Malassezia globosa,CBS 7966,N/A,811,4286,N/A,3174,N/A
Fusarium oxysporum f. sp. lycopersici 4287,FungiDB,GenBank,GCA_000149955.2,"Aug 20, 2015",yes,0,70,15,20925,429,0,22,20925,11657,1868,426428,yes,10,   61.47,GenBank,Fusarium oxysporum,f. sp. lycopersici 4287,N/A,2570,21354,N/A,148348,N/A
Trypanosoma rangeli SC58,TriTrypDB,GenBank,GCA_000492115.1,"Oct 30, 2013",yes,7433,0,0,7475,0,0,10,7475,4625,564,429131,no,10,   14.02,GenBank,Trypanosoma rangeli,SC58,N/A,959,7475,N/A,31044,N/A
Trichoderma reesei QM6a,FungiDB,GenBank,GCA_000167675.2,"Dec 13, 2012",yes,0,77,0,9131,7,7,9,9131,6470,949,431241,no,10,   33.40,GenBank,Trichoderma reesei,QM6a,N/A,4315,9138,N/A,32662,N/A
Globisporangium ultimum DAOM BR144,FungiDB,GenBank,GCA_000143045.1,"Mar 02, 2016",yes,0,975,0,15290,140,0,N/A,15290,9301,1243,431595,no,10,   44.91,Ensembl,Globisporangium ultimum,DAOM BR144,N/A,N/A,15430,N/A,6153,N/A
Toxoplasma gondii VEG,ToxoDB,GenBank,GCA_000150015.2,"Nov 19, 2013",no,0,1290,14,8410,153,0,171,8410,5046,1341,432359,yes,10,   64.52,GenBank,Toxoplasma gondii,VEG,N/A,5029,8563,N/A,6821,N/A
Leishmania infantum JPCM5,TriTrypDB,GenBank,GCA_900500625.2,"Jul 13, 2018",yes,0,0,36,8527,221,64,149,8527,4859,1251,435258,no,10,   32.80,RequenaLab,Leishmania infantum,JPCM5,N/A,10,8748,8595,38502,1078
Cryptosporidium muris RN66,CryptoDB,GenBank,GCF_000006515.1,"Mar 11, 2015",yes,0,84,0,3934,47,4,61,3934,2696,699,441375,no,10,    9.25,GenBank,Cryptosporidium muris,RN66,N/A,575,3981,N/A,7941,N/A
Talaromyces stipitatus ATCC 10500,FungiDB,GenBank,GCA_000003125.1,"Mar 11, 2015",yes,0,820,0,12483,146,0,2,12483,8566,1734,441959,yes,10,   35.72,GenBank,Talaromyces stipitatus,ATCC 10500,N/A,N/A,12629,N/A,4417,N/A
Talaromyces marneffei ATCC 18224,FungiDB,GenBank,GCA_000001985.1,"Mar 11, 2015",yes,0,452,0,10049,145,0,1,10049,7416,1341,441960,yes,10,   28.68,GenBank,Talaromyces marneffei,ATCC 18224,N/A,37,10194,N/A,4453,N/A
Coccidioides posadasii str. Silveira,FungiDB,GenBank,GCA_000170175.2,2015-03-13,yes,0,54,0,10225,154,0,2,10225,5746,1079,443226,no,10,   27.58,GenBank,Coccidioides posadasii,str. Silveira,N/A,7616,10379,N/A,8677,889
Histoplasma capsulatum G186AR,FungiDB,GenBank,GCA_000150115.1,"Mar 11, 2015",no,0,86,0,9254,110,0,8,9254,5560,1043,447093,yes,10,   30.48,GenBank,Histoplasma capsulatum,G186AR,N/A,2626,9364,N/A,1959,N/A
Histoplasma capsulatum G217B,FungiDB,GenBank,GCA_000170615.1,"Sep 21, 2005",yes,261,0,0,11221,0,0,5,11221,4486,627,447094,no,10,   39.27,UCSF,Histoplasma capsulatum,G217B,9761,2673,11221,N/A,2581,N/A
Blastomyces dermatitidis ATCC 26199,FungiDB,INSDC,GCA_000166155.1,2015-03-13,no,0,3282,0,9180,380,232,N/A,9180,5745,887,447095,no,10,   71.52,GenBank,Blastomyces dermatitidis,ATCC 26199,N/A,N/A,9560,N/A,856,N/A
Aspergillus fumigatus A1163,FungiDB,GenBank,GCA_000150145.1,"Dec 16, 2013",no,0,55,0,9907,199,0,312,9907,7441,1431,451804,no,10,   29.21,AspGD,Aspergillus fumigatus,A1163,N/A,228,10106,N/A,45034,N/A
Coccidioides posadasii RMSCC 3488,FungiDB,GenBank,GCA_000150055.1,"Jun 29, 2015",no,0,6,0,9897,119,0,N/A,9897,5605,1069,454284,yes,10,   28.21,GenBank,Coccidioides posadasii,RMSCC 3488,N/A,7520,10016,N/A,8334,N/A
Coccidioides immitis RMSCC 3703,FungiDB,GenBank,GCA_000150085.1,2015-07-13,no,0,286,0,0,0,0,N/A,N/A,N/A,N/A,454286,yes,10,   27.71,GenBank,Coccidioides immitis,RMSCC 3703,N/A,N/A,N/A,N/A,N/A,N/A
Coccidioides posadasii RMSCC 2133,FungiDB,GenBank,GCA_000150185.1,2015-07-13,no,0,53,0,0,0,0,N/A,N/A,N/A,N/A,469470,yes,10,   27.92,GenBank,Coccidioides posadasii,RMSCC 2133,N/A,N/A,N/A,N/A,N/A,N/A
Coccidioides posadasii RMSCC 3700,FungiDB,GenBank,GCA_000150215.1,2015-07-13,no,0,241,0,0,0,0,N/A,N/A,N/A,N/A,469471,yes,10,   25.49,GenBank,Coccidioides posadasii,RMSCC 3700,N/A,N/A,N/A,N/A,N/A,N/A
Coccidioides posadasii CPA 0001,FungiDB,GenBank,GCA_000150245.1,2015-07-13,no,0,255,0,0,0,0,N/A,N/A,N/A,N/A,469472,yes,10,   28.69,GenBank,Coccidioides posadasii,CPA 0001,N/A,N/A,N/A,N/A,N/A,N/A
Enterocytozoon bieneusi H348,MicrosporidiaDB,GenBank,GCA_000209485.1,"Jan 13, 2009",yes,1730,3,0,3632,174,3,N/A,3632,2075,506,481877,no,10,    3.86,GenBank,Enterocytozoon bieneusi,H348,N/A,N/A,3806,N/A,4082,N/A
Paracoccidioides brasiliensis Pb03,FungiDB,GenBank,GCA_000150475.2,"Nov 13, 2014",yes,0,65,0,8427,121,0,N/A,8427,5181,1047,482561,no,10,   29.06,GenBank,Paracoccidioides brasiliensis,Pb03,N/A,4947,8548,N/A,2708,N/A
Schizosaccharomyces octosporus yFS286,FungiDB,GenBank,GCA_000150505.2,"Mar 23, 2015",yes,0,5,0,4994,361,0,N/A,4994,4380,830,483514,yes,10,   11.68,GenBank,Schizosaccharomyces octosporus,yFS286,N/A,N/A,5355,N/A,70983,N/A
Babesia bovis T2Bo,PiroplasmaDB,GenBank,GCA_000165395.1,"Mar 10, 2010",yes,10,0,2,3706,75,0,72,3706,1868,461,484906,yes,10,    8.18,GenBank,Babesia bovis,T2Bo,N/A,2246,3781,3698,7531,N/A
Coccidioides posadasii RMSCC 1037,FungiDB,GenBank,GCA_000150555.1,2015-07-13,no,0,633,0,0,0,0,N/A,N/A,N/A,N/A,490065,yes,10,   26.66,GenBank,Coccidioides posadasii,RMSCC 1037,N/A,N/A,N/A,N/A,N/A,N/A
Coccidioides posadasii RMSCC 1038,FungiDB,GenBank,GCA_000150585.1,2015-07-13,no,0,551,0,0,0,0,N/A,N/A,N/A,N/A,490066,yes,10,   26.18,GenBank,Coccidioides posadasii,RMSCC 1038,N/A,N/A,N/A,N/A,N/A,N/A
Coccidioides posadasii CPA 0020,FungiDB,GenBank,GCA_000150615.1,2015-07-13,no,0,620,0,0,0,0,N/A,N/A,N/A,N/A,490068,yes,10,   27.35,GenBank,Coccidioides posadasii,CPA 0020,N/A,N/A,N/A,N/A,N/A,N/A
Coccidioides posadasii CPA 0066,FungiDB,GenBank,GCA_000150645.1,2015-07-13,no,0,473,0,0,0,0,N/A,N/A,N/A,N/A,490069,yes,10,   27.79,GenBank,Coccidioides posadasii,CPA 0066,N/A,N/A,N/A,N/A,N/A,N/A
Penicillium rubens Wisconsin 54-1255,FungiDB,GenBank,GCA_000226395.1,"Feb 01, 2015",yes,0,49,0,12557,1464,1,N/A,12557,7809,1453,500485,no,10,   32.22,Ensembl,Penicillium rubens,Wisconsin 54-1255,N/A,N/A,14021,N/A,32583,N/A
Paracoccidioides lutzii Pb01,FungiDB,GenBank,GCA_000150705.2,"Nov 03, 2014",yes,0,110,0,8826,127,0,3,8826,5348,1054,502779,no,10,   32.93,GenBank,Paracoccidioides lutzii,Pb01,N/A,765,8953,N/A,2706,N/A
Paracoccidioides brasiliensis Pb18,FungiDB,GenBank,GCA_000150735.2,"Oct 24, 2014",no,0,57,0,8390,132,0,N/A,8390,5232,1051,502780,no,10,   29.95,GenBank,Paracoccidioides brasiliensis,Pb18,N/A,4972,8522,N/A,2755,N/A
Toxoplasma gondii GT1,ToxoDB,GenBank,GCA_000149715.2,"Jul 19, 2013",no,2034,0,14,8460,177,0,503,8460,4903,1332,507601,yes,10,   63.95,GenBank,Toxoplasma gondii,GT1,N/A,5003,8637,N/A,6766,4934
Toxoplasma gondii ME49,ToxoDB,GenBank,GCF_000006565.2,"Mar 22, 2015",yes,0,2248,14,8322,598,0,1544,8322,4863,1319,508771,yes,10,   65.67,GenBank,Toxoplasma gondii,ME49,8431,5682,8920,6982,7425,5800
Aspergillus oryzae RIB40,FungiDB,GenBank,GCA_000184455.3,"Oct 04, 2015",yes,3,0,8,12090,274,3,12,12090,12066,1653,510516,yes,10,   37.91,AspGD,Aspergillus oryzae,RIB40,N/A,6373,12364,N/A,82696,N/A
Neurospora tetrasperma FGSC 2508,FungiDB,GenBank,GCA_000213175.1,"Mar 13, 2015",yes,0,81,0,10380,0,0,N/A,10380,5932,1121,510951,no,10,   39.15,GenBank,Neurospora tetrasperma,FGSC 2508,N/A,N/A,10380,N/A,1707,N/A
Neurospora discreta FGSC 8579,FungiDB,JGI,1,1,yes,0,176,0,9948,397,4,N/A,9948,4246,N/A,510953,no,10,   37.30,JGI,Neurospora discreta,FGSC 8579,N/A,N/A,10345,N/A,3015,N/A
Podospora anserina S mat+,FungiDB,INSDC,GCA_000226545.1,"Aug 21, 2013",yes,0,33,0,10518,370,9,N/A,10518,6989,958,515849,no,10,   34.72,GenBank,Podospora anserina,S mat+,N/A,5893,10888,N/A,548,N/A
Histoplasma capsulatum H88,FungiDB,GenBank,GCA_000151005.2,"Jul 26, 2016",no,0,16,0,9445,221,0,1,9445,5546,1031,544711,yes,10,   37.94,GenBank,Histoplasma capsulatum,H88,N/A,2667,9666,N/A,1962,N/A
Histoplasma capsulatum H143,FungiDB,GenBank,GCA_000151035.1,"Jul 24, 2016",no,0,48,0,9547,249,0,N/A,9547,5461,996,544712,yes,10,   38.96,GenBank,Histoplasma capsulatum,H143,N/A,2532,9796,N/A,1622,N/A
Microsporum canis CBS 113480,FungiDB,INSDC,GCA_000151145.1,"Jul 26, 2016",yes,0,16,0,8765,82,1,N/A,8765,6036,944,554155,yes,10,   23.26,GenBank,Microsporum canis,CBS 113480,N/A,N/A,8847,N/A,5881,N/A
